scenario,partner,total_payloads,clean_payloads,injected_payloads,hardcoded_success_rate_pct,jsonata_success_rate_pct,dynamic_success_rate_pct,hardcoded_mapping_accuracy_pct,jsonata_mapping_accuracy_pct,dynamic_mapping_accuracy_pct,hardcoded_error_detection_pct,jsonata_error_detection_pct,dynamic_error_detection_pct,hardcoded_avg_latency_ms,jsonata_avg_latency_ms,dynamic_avg_latency_ms,dynamic_vs_hardcoded_sr_delta_pct,dynamic_vs_hardcoded_latency_delta_ms,dynamic_vs_jsonata_sr_delta_pct
S1,partner_a,100,93,7,98.0,99.0,94.0,100.0,100.0,100.0,28.6,14.3,85.7,0.0007,0.0059,0.0034,-4.0,0.0027,-5.0
S1,partner_b,100,93,7,98.0,99.0,94.0,100.0,100.0,100.0,28.6,14.3,85.7,0.0006,0.006,0.0034,-4.0,0.0028,-5.0
S1,partner_c,100,93,7,98.0,98.0,94.0,100.0,100.0,100.0,28.6,28.6,85.7,0.0277,0.0104,0.0081,-4.0,-0.0196,-4.0
S2,partner_a,300,272,28,97.33,98.67,92.0,100.0,100.0,100.0,28.6,14.3,85.7,0.0007,0.0067,0.004,-5.33,0.0033,-6.67
S2,partner_b,300,272,28,97.33,98.67,92.0,100.0,100.0,100.0,28.6,14.3,85.7,0.0006,0.0064,0.0039,-5.33,0.0033,-6.67
S2,partner_c,300,272,28,97.33,97.33,92.0,100.0,100.0,100.0,28.6,28.6,85.7,0.0041,0.0112,0.0082,-5.33,0.0041,-5.33
S3,partner_a,500,444,56,96.8,98.4,90.4,100.0,100.0,100.0,28.6,14.3,85.7,0.0007,0.0071,0.0074,-6.4,0.0067,-8.0
S3,partner_b,500,444,56,96.8,98.4,90.4,100.0,100.0,100.0,28.6,14.3,85.7,0.0006,0.0065,0.0039,-6.4,0.0033,-8.0
S3,partner_c,500,444,56,96.8,96.8,90.4,100.0,100.0,100.0,28.6,28.6,85.7,0.0039,0.0111,0.008,-6.4,0.0041,-6.4
S3,partner_d,500,444,56,96.8,98.4,90.4,100.0,100.0,100.0,28.6,14.3,85.7,0.0038,0.0101,0.0073,-6.4,0.0035,-8.0
S3,partner_e,500,444,56,96.8,95.2,88.8,100.0,100.0,100.0,28.6,42.9,100.0,0.0039,0.0156,0.0114,-8.0,0.0075,-6.4
S4,partner_a,500,444,56,96.8,98.4,90.4,100.0,100.0,100.0,28.6,14.3,85.7,0.0006,0.0064,0.0039,-6.4,0.0033,-8.0
S4,partner_b,500,444,56,96.8,98.4,90.4,100.0,100.0,100.0,28.6,14.3,85.7,0.0006,0.0063,0.0039,-6.4,0.0033,-8.0
S4,partner_c,500,444,56,96.8,96.8,90.4,100.0,100.0,100.0,28.6,28.6,85.7,0.0039,0.011,0.0081,-6.4,0.0042,-6.4
S4,partner_d,500,444,56,96.8,98.4,90.4,100.0,100.0,100.0,28.6,14.3,85.7,0.0039,0.0102,0.0075,-6.4,0.0036,-8.0
S4,partner_e,500,444,56,96.8,95.2,88.8,100.0,100.0,100.0,28.6,42.9,100.0,0.0039,0.0154,0.0115,-8.0,0.0076,-6.4
