scenario,partner,total_payloads,baseline_success_count,baseline_error_count,baseline_success_rate_pct,baseline_avg_latency_ms,baseline_min_latency_ms,baseline_max_latency_ms,dynamic_success_count,dynamic_error_count,dynamic_success_rate_pct,dynamic_avg_latency_ms,dynamic_min_latency_ms,dynamic_max_latency_ms,success_rate_improvement_pct,latency_diff_ms
S1,partner_a,100,93,7,93.0,0.0007,0.0003,0.0047,93,7,93.0,0.0028,0.0025,0.0066,0.0,0.0021
S1,partner_b,100,93,7,93.0,0.0007,0.0003,0.0042,93,7,93.0,0.0031,0.0028,0.0059,0.0,0.0024
S1,partner_c,100,93,7,93.0,0.0322,0.0003,2.7567,93,7,93.0,0.007,0.0063,0.0173,0.0,-0.0252
S2,partner_a,300,280,20,93.33,0.0006,0.0003,0.0021,280,20,93.33,0.0034,0.003,0.0055,0.0,0.0028
S2,partner_b,300,280,20,93.33,0.0007,0.0003,0.0033,280,20,93.33,0.0037,0.0031,0.0054,0.0,0.003
S2,partner_c,300,280,20,93.33,0.0039,0.0003,0.0305,280,20,93.33,0.0079,0.0069,0.0332,0.0,0.004
S3,partner_a,500,475,25,95.0,0.0009,0.0003,0.094,475,25,95.0,0.0035,0.0031,0.0073,0.0,0.0026
S3,partner_b,500,475,25,95.0,0.0006,0.0002,0.0047,475,25,95.0,0.0039,0.0031,0.0305,0.0,0.0033
S3,partner_c,500,475,25,95.0,0.0041,0.0003,0.0514,475,25,95.0,0.0084,0.0076,0.0412,0.0,0.0043
S3,partner_d,500,475,25,95.0,0.0042,0.0003,0.027,460,40,92.0,0.0072,0.0063,0.0349,-3.0,0.003
S3,partner_e,500,475,25,95.0,0.0042,0.0003,0.0378,475,25,95.0,0.0092,0.0073,0.0943,0.0,0.005
S4,partner_a,500,477,23,95.4,0.0007,0.0002,0.0038,477,23,95.4,0.004,0.0031,0.0298,0.0,0.0033
S4,partner_b,500,477,23,95.4,0.0006,0.0002,0.0047,477,23,95.4,0.0034,0.003,0.0146,0.0,0.0028
S4,partner_c,500,477,23,95.4,0.0037,0.0003,0.0324,477,23,95.4,0.0078,0.0066,0.0772,0.0,0.0041
S4,partner_d,500,477,23,95.4,0.0041,0.0003,0.0147,460,40,92.0,0.0072,0.0064,0.019,-3.4,0.0031
S4,partner_e,500,477,23,95.4,0.004,0.0003,0.0292,477,23,95.4,0.0084,0.0072,0.093,0.0,0.0044
