label,test,stat,p_value,significant,baseline_normal,dynamic_normal,baseline_mean,baseline_std,baseline_min,baseline_max,dynamic_mean,dynamic_std,dynamic_min,dynamic_max,cohens_d,effect_size
S1 - partner_a,Wilcoxon signed-rank,0.0,0.0,True,False,False,0.0007,0.0006,0.0003,0.0047,0.0028,0.0004,0.0025,0.0066,-6.0041,large
S1 - partner_b,Wilcoxon signed-rank,0.0,0.0,True,False,False,0.0007,0.0004,0.0003,0.0042,0.0031,0.0004,0.0028,0.0059,-6.0581,large
S1 - partner_c,Wilcoxon signed-rank,348.5,0.0,True,False,False,0.0322,0.2752,0.0003,2.7567,0.007,0.0012,0.0063,0.0173,0.0919,trivial
S2 - partner_a,Wilcoxon signed-rank,0.0,0.0,True,False,False,0.0006,0.0002,0.0003,0.0021,0.0034,0.0003,0.003,0.0055,-8.4531,large
S2 - partner_b,Wilcoxon signed-rank,0.0,0.0,True,False,False,0.0007,0.0002,0.0003,0.0033,0.0037,0.0003,0.0031,0.0054,-9.3938,large
S2 - partner_c,Wilcoxon signed-rank,0.0,0.0,True,False,False,0.0039,0.0018,0.0003,0.0305,0.0079,0.0017,0.0069,0.0332,-3.7014,large
S3 - partner_a,Wilcoxon signed-rank,528.0,0.0,True,False,False,0.0009,0.0042,0.0003,0.094,0.0035,0.0003,0.0031,0.0073,-0.6239,medium
S3 - partner_b,Wilcoxon signed-rank,1.0,0.0,True,False,False,0.0006,0.0003,0.0002,0.0047,0.0039,0.0022,0.0031,0.0305,-1.4605,large
S3 - partner_c,Wilcoxon signed-rank,498.0,0.0,True,False,False,0.0041,0.0023,0.0003,0.0514,0.0084,0.0024,0.0076,0.0412,-1.4594,large
S3 - partner_d,Wilcoxon signed-rank,2333.0,0.0,True,False,False,0.0042,0.0018,0.0003,0.027,0.0072,0.0014,0.0063,0.0349,-1.448,large
S3 - partner_e,Wilcoxon signed-rank,987.5,0.0,True,False,False,0.0042,0.0019,0.0003,0.0378,0.0092,0.006,0.0073,0.0943,-0.8013,large
S4 - partner_a,Wilcoxon signed-rank,0.0,0.0,True,False,False,0.0007,0.0003,0.0002,0.0038,0.004,0.0019,0.0031,0.0298,-1.6981,large
S4 - partner_b,Wilcoxon signed-rank,1.0,0.0,True,False,False,0.0006,0.0003,0.0002,0.0047,0.0034,0.0006,0.003,0.0146,-4.6046,large
S4 - partner_c,Wilcoxon signed-rank,959.0,0.0,True,False,False,0.0037,0.0015,0.0003,0.0324,0.0078,0.0032,0.0066,0.0772,-1.1754,large
S4 - partner_d,Wilcoxon signed-rank,553.5,0.0,True,False,False,0.0041,0.001,0.0003,0.0147,0.0072,0.0007,0.0064,0.019,-2.6979,large
S4 - partner_e,Wilcoxon signed-rank,976.5,0.0,True,False,False,0.004,0.0015,0.0003,0.0292,0.0084,0.0042,0.0072,0.093,-1.0091,large
